ticker,industry,score
RKDA,Agriculture,14.902007324241866
LND,Agriculture,14.17079670252372
CALM,Agriculture,13.183840909328476
CEAD,Agriculture,9.697009232925128
AGRO,Agriculture,8.274534254797691
SANW,Agriculture,4.67427399055453
AGFY,Agriculture,3.5275838154343626
EDBL,Agriculture,1.897264061245319
LOCL,Agriculture,1.6085592786513156
NCRA,Agriculture,1.4586183244605828
UAVS,Aircraft,17.74255815646101
BA,Aircraft,13.455620704499186
AIRI,Aircraft,11.402432142389328
TDG,Aircraft,6.204389111136635
EVEX,Aircraft,4.651714967797667
JOBY,Aircraft,4.480225930967308
LILM,Aircraft,4.35021194474675
MOB,Aircraft,4.0210069520297855
ACHR,Aircraft,3.210219353974505
EVTL,Aircraft,3.2050258634635216
AWX,Almost Nothing,13.221476339023184
ESGL,Almost Nothing,7.573665128863066
HCCI,Almost Nothing,2.314388442318968
CWST,Almost Nothing,1.2920501444318844
PESI,Almost Nothing,1.0761419269145267
SRCL,Almost Nothing,0.0092990699172222
CLH,Almost Nothing,-0.2219874058095974
LICY,Almost Nothing,-1.626960689633521
AMBI,Almost Nothing,-1.70199616357838
WM,Almost Nothing,-3.683259531210302
CROX,Apparel,18.025488773330537
GIII,Apparel,14.228134961747385
SKX,Apparel,12.059965448681265
DECK,Apparel,6.729129109792756
GIL,Apparel,6.475065032627434
GES,Apparel,6.321825402978696
BIRD,Apparel,4.497931959768228
TLF,Apparel,4.482468874424908
CPRI,Apparel,4.31917152302916
LANV,Apparel,4.3122218967212405
KNDI,Automobiles and Trucks,18.448420361518
BLNK,Automobiles and Trucks,12.963034699500474
VC,Automobiles and Trucks,9.866132420718834
EVTV,Automobiles and Trucks,9.826163123850742
WKHS,Automobiles and Trucks,7.527937297508646
LEV,Automobiles and Trucks,7.005818314090893
STLA,Automobiles and Trucks,6.600084083978242
TEX,Automobiles and Trucks,6.279148344443656
WBX,Automobiles and Trucks,6.202958499908613
ADSE,Automobiles and Trucks,6.191907243949088
MFIN,Banking,20.459178464591567
AVTA,Banking,20.220643486976964
EEFT,Banking,17.256396905476848
KB,Banking,16.208395807795725
RWAY,Banking,15.915656745831894
CPSS,Banking,15.10121402854132
USIO,Banking,14.08444911757512
SRL,Banking,13.55845074436592
YRD,Banking,13.466488446781478
SWKH,Banking,11.858698860159718
JSDA,Beer & Liquor,17.800970932735023
KDP,Beer & Liquor,7.919034999305509
WEST,Beer & Liquor,7.3162157061605555
ABEV,Beer & Liquor,5.756766912911421
VWE,Beer & Liquor,3.732148786267148
VINE,Beer & Liquor,2.959596043142293
SBEV,Beer & Liquor,2.228262160028168
STZ,Beer & Liquor,1.5600353906146691
DEO,Beer & Liquor,1.2700770074776164
NAPA,Beer & Liquor,0.964473620662118
CREG,Business Services,20.766631835758364
LDWY,Business Services,15.916108635702717
PALT,Business Services,14.820507919286978
RILY,Business Services,14.255437189715495
EXAS,Business Services,13.75510228389695
GRPN,Business Services,13.166135607819562
GEG,Business Services,12.821832736180228
STAF,Business Services,12.77082112419984
MNDY,Business Services,12.474900297381128
SBFM,Business Services,12.199171625479435
CLW,Business Supplies,13.976308799460542
GLT,Business Supplies,12.932475725229798
MLKN,Business Supplies,10.117323556166848
VIRC,Business Supplies,9.586677196535442
MERC,Business Supplies,9.39186899627511
SLVM,Business Supplies,6.10369169604871
ILAG,Business Supplies,4.60232852072925
EBF,Business Supplies,-0.5745711493514157
MATV,Business Supplies,-1.1450525797163216
PTVE,Business Supplies,-1.4004842048149904
PRMW,Candy & Soda,19.628225988549836
ZVIA,Candy & Soda,5.130350175207012
AKO.B,Candy & Soda,1.969366497332771
COKE,Candy & Soda,1.4614404475024494
FIZZ,Candy & Soda,-6.784356076061965
MNST,Candy & Soda,-8.539540936432335
CCEP,Candy & Soda,-9.213068272392167
ALTO,Chemicals,22.367485617286302
ADES,Chemicals,18.50029077653716
VRME,Chemicals,13.8223488382794
SLI,Chemicals,9.851297063808842
AMTX,Chemicals,9.269768564927114
CYTH,Chemicals,8.321647484506933
GPRE,Chemicals,7.697426796001007
PCT,Chemicals,6.12368162996821
GPP,Chemicals,6.093967051551519
CNEY,Chemicals,6.07921675941009
METC,Coal,4.838863036190614
ARCH,Coal,4.62879980373528
HNRG,Coal,2.0437665127362417
BTU,Coal,-0.7481323455902766
NRP,Coal,-3.2360060170334117
ARLP,Coal,-7.439863231266994
LBRDA,Communication,17.16661452119352
MARK,Communication,16.074939283022612
FENG,Communication,14.114547400151586
IDEX,Communication,14.002775751490656
AREN,Communication,13.565658772534231
CCOI,Communication,13.560070644718651
OBLG,Communication,8.372429657930539
UCL,Communication,7.487291635102796
USM,Communication,7.278256247486811
TEO,Communication,7.043820137352498
IMMR,Computers,31.59911968601036
CLSK,Computers,17.42138835480775
OMQS,Computers,10.143634544524543
INTZ,Computers,9.50096712569766
BRQS,Computers,8.601150250337486
ASUR,Computers,8.468130628316818
IOT,Computers,7.08099012617061
SCKT,Computers,6.2085343939090745
ARBB,Computers,5.754638636598529
KBNT,Computers,5.721230215761246
ORN,Construction,11.290648628517896
WLGS,Construction,8.082406246953104
UHG,Construction,5.593569195562723
HCDI,Construction,5.0380086769017
GRBK,Construction,4.694074286527702
TPC,Construction,3.3430643194488456
HOV,Construction,3.03869171189326
AENZ,Construction,2.264697243642177
MTRX,Construction,1.684994373560179
ADD,Construction,1.5019422020814703
SKY,Construction Materials,14.581331307711029
RUN,Construction Materials,12.312449322438892
PGTI,Construction Materials,10.011725631390552
VATE,Construction Materials,9.87180142832453
TGLS,Construction Materials,8.059137259716152
TPCS,Construction Materials,7.909405120040482
CVCO,Construction Materials,7.445308379409925
LPX,Construction Materials,6.740852389331073
WFG,Construction Materials,5.47694060175209
NISN,Construction Materials,4.587838982433534
CODI,Consumer Goods,22.206374705293733
BSET,Consumer Goods,18.841977095373903
CTHR,Consumer Goods,15.917505328928296
PRPL,Consumer Goods,12.519275155850435
WULF,Consumer Goods,9.426138253137111
NANX,Consumer Goods,8.832159518884392
CPSH,Consumer Goods,8.63313561917274
GPRO,Consumer Goods,7.490319626281872
YSG,Consumer Goods,6.651139044119115
IRBT,Consumer Goods,6.069637331554399
SWBI,Defense,17.859177212778565
RDW,Defense,10.29190393922142
KTOS,Defense,5.49955453915029
AOUT,Defense,4.008491262142577
RKLB,Defense,0.0271572787734014
VSTO,Defense,-0.2558461585673826
LMT,Defense,-0.4221481249276945
RGR,Defense,-1.5945896912827084
AXON,Defense,-8.744905058439889
NPK,Defense,-10.463567686695948
SPB,Electrical Equipment,34.952861693885865
BYRN,Electrical Equipment,14.574562650036029
NCNC,Electrical Equipment,14.315563344385664
CBAT,Electrical Equipment,12.82125497576483
ELIQ,Electrical Equipment,9.956213502981983
EOSE,Electrical Equipment,9.493582056685115
PLUG,Electrical Equipment,9.260123235110324
FLUX,Electrical Equipment,8.967607796397644
EMR,Electrical Equipment,7.771740929421798
LASE,Electrical Equipment,6.039561894503095
TIO,Electronic Equipment,22.475827164235792
SUNW,Electronic Equipment,14.723935371950924
SOL,Electronic Equipment,13.83600763141856
INSG,Electronic Equipment,13.158065518088378
FKWL,Electronic Equipment,12.423823732898011
LGL,Electronic Equipment,12.286756035876016
AULT,Electronic Equipment,11.374565642386743
NNDM,Electronic Equipment,11.251289796219517
CLRO,Electronic Equipment,11.23512952680498
MMAT,Electronic Equipment,10.987939890072036
GDEN,Entertainment,27.727806451319516
TOON,Entertainment,19.374960502472756
GAIA,Entertainment,18.07377224787201
GMBL,Entertainment,13.56595223005601
MSGS,Entertainment,10.601717091539214
CDRO,Entertainment,8.337278486679777
SEAT,Entertainment,7.303579255066277
WORX,Entertainment,5.841153895441139
MSGE,Entertainment,5.822157741577701
GAME,Entertainment,5.601147662745326
MTRN,Fabricated Products,6.246956234995817
PKOH,Fabricated Products,2.1885448830350374
NTIC,Fabricated Products,1.6276563230517338
TRS,Fabricated Products,0.8415028933518922
GTLS,Fabricated Products,-9.446570812518113
FTFT,Food Products,23.80376712777977
