time,open,high,low,close,volume
2023-08-16 18:25:00,1808.67,1808.71,1807.25,1807.25,2077.549
2023-08-16 18:26:00,1807.26,1808.16,1807.18,1807.67,2356.770
2023-08-16 18:27:00,1807.67,1808.43,1807.67,1808.42,1045.523
2023-08-16 18:28:00,1808.43,1808.65,1807.88,1808.65,1541.584
2023-08-16 18:29:00,1808.65,1809.76,1808.42,1809.34,3713.555
2023-08-16 18:30:00,1809.34,1809.52,1807.94,1807.94,2664.645
2023-08-16 18:31:00,1807.94,1807.95,1806.84,1807.03,2078.904
2023-08-16 18:32:00,1807.03,1807.04,1805.88,1806.01,2883.305
2023-08-16 18:33:00,1806.02,1806.70,1805.93,1806.53,1892.146
2023-08-16 18:34:00,1806.53,1807.20,1805.82,1807.20,2726.599
2023-08-16 18:35:00,1807.19,1807.19,1806.04,1807.10,1762.900
2023-08-16 18:36:00,1807.10,1807.11,1806.25,1806.25,606.100
2023-08-16 18:37:00,1806.25,1806.26,1804.17,1804.46,3397.330
2023-08-16 18:38:00,1804.46,1806.23,1804.35,1804.55,2116.066
2023-08-16 18:39:00,1804.55,1805.54,1802.72,1804.59,3041.128
2023-08-16 18:40:00,1804.60,1806.23,1803.97,1806.22,2912.761
2023-08-16 18:41:00,1806.21,1807.20,1806.13,1806.14,2754.838
2023-08-16 18:42:00,1806.14,1806.99,1804.75,1805.72,2583.319
2023-08-16 18:43:00,1805.71,1806.08,1802.83,1802.83,3354.950
2023-08-16 18:44:00,1802.83,1804.64,1802.22,1804.45,8465.783
2023-08-16 18:45:00,1804.45,1805.92,1803.66,1805.92,2629.583
2023-08-16 18:46:00,1805.92,1806.49,1805.80,1805.80,1632.134
2023-08-16 18:47:00,1805.81,1806.49,1805.35,1805.35,1590.830
2023-08-16 18:48:00,1805.35,1805.35,1804.19,1804.31,936.784
2023-08-16 18:49:00,1804.31,1804.55,1802.99,1803.00,1547.448
2023-08-16 18:50:00,1802.99,1804.06,1802.96,1804.06,1496.244
2023-08-16 18:51:00,1804.06,1805.96,1804.05,1805.95,2953.500
2023-08-16 18:52:00,1805.96,1805.96,1805.11,1805.11,994.801
2023-08-16 18:53:00,1805.11,1806.05,1804.79,1806.05,1494.606
2023-08-16 18:54:00,1806.05,1806.66,1806.02,1806.02,807.090
2023-08-16 18:55:00,1806.02,1806.90,1805.63,1806.09,1471.285
2023-08-16 18:56:00,1806.08,1807.10,1806.08,1806.59,1142.623
2023-08-16 18:57:00,1806.60,1806.86,1806.44,1806.44,488.793
2023-08-16 18:58:00,1806.44,1807.05,1806.19,1806.91,997.439
2023-08-16 18:59:00,1806.91,1807.26,1806.69,1807.25,438.548
2023-08-16 19:00:00,1807.25,1807.74,1806.89,1807.42,1498.996
2023-08-16 19:01:00,1807.42,1807.77,1807.41,1807.44,631.997
2023-08-16 19:02:00,1807.44,1807.80,1807.43,1807.80,556.693
