A,-1.5081379722263757
AAL,-38.823755525658285
AAP,55.943424616310566
AAPL,-7.68185309933227
ABBV,-5.780167511115698
ABC,-19.451099978218256
ABMD,69.77215730217172
ABT,24.5663220606273
ACN,-8.668103729832133
ADBE,27.32823556265691
ADI,-4.009884308660006
ADM,1.7465069860279403
ADP,10.273914156497987
ADS,-40.89474514754616
ADSK,21.367929027950012
AEE,10.086455331412104
AEP,1.5767296452358526
AES,31.76361957525391
AFL,2.415128730918204
AGN,-18.816481232424493
AIG,-35.17959046659953
AIV,-0.5261953786318996
AIZ,-12.574375247917501
AJG,14.601769911504414
AKAM,-6.134686346863482
ALB,-39.99530846821488
ALGN,-6.2559071065304455
ALK,-17.956740579512996
ALL,-21.669372552764777
ALLE,-1.2694821518350996
ALXN,-18.713939292583003
AMAT,-36.65884194053207
AMCR,-21.186440677966097
AMD,73.34630350194553
AME,-7.920518835380152
AMG,-53.22289890377587
AMGN,9.677975848188613
AMP,-39.13376998878857
AMT,11.326838157986984
AMZN,26.383746483449773
ANET,-12.658120383733774
ANSS,-3.116742326715893
ANTM,15.141549264477128
AON,7.2388059701492535
AOS,-30.319843342036545
APA,-37.61250592136428
APD,-2.059970745977591
APH,-8.34851936218679
APTV,-27.643522338795236
ARE,-12.749827705031013
ARNC,-38.49541284403669
ATO,6.717894981953654
ATVI,-26.089703095388504
AVB,-3.2173084468359425
AVGO,-1.2884390813545976
AVY,-22.66237158279645
AWK,-1.6067329762815552
AXP,-4.9239754304702394
AZO,17.942842683835416
BA,7.28018717574852
BAC,-17.3780487804878
BAX,0.8818069306930632
BBT,-13.61625100563153
BBY,-25.01825617058565
BDX,3.7045688124824894
BEN,-32.67943687975997
BF-B,-13.687659264652341
BHGE,-32.23767383059418
BIIB,-7.8632639608249395
BK,-13.386557742294835
BKNG,-1.2608330360122988
BLK,-24.42623269938292
BLL,18.361955085865244
BMY,-16.87336814621411
BR,5.023183925811425
BRK-B,1.947331248108175
BSX,39.85478015328763
BWA,-32.452534742611086
BXP,-13.919864646620006
C,-30.34538368498858
CAG,-43.77488717812583
CAH,-27.240084870246463
CAT,-20.288107627871568
CB,-12.536782317114891
CBOE,-22.77871418251867
CBRE,-7.89655968598476
CBS,-26.42372881355933
CCI,-2.6033690658499253
CCL,-26.653608558083477
CDNS,3.6346245815399367
CDW,14.76471434738813
CE,-16.426970489353753
CELG,-40.17822920659256
CERN,-22.82237720730079
CF,-0.3996238834038546
CFG,-29.561696045736063
CHD,31.05441498903727
CHRW,-6.600067347626004
CHTR,-15.144660078580785
CI,-6.1253631394948
CINF,2.187541683340011
CL,-20.980781974817763
CLX,2.9447357805566723
CMA,-21.80624352033177
CMCSA,-14.232209737827706
CME,27.428962684012316
CMG,46.76331176694462
CMI,-25.46422101449275
CMS,4.376321353065538
CNC,11.81601903251388
CNP,-1.2693935119887143
COF,-25.025105442860017
COG,-19.75524475524476
COO,14.581420965669189
COP,12.351976680633992
COST,8.553621319578752
COTY,-67.37053795877326
CPB,-30.492621076699233
CPRI,-40.93725178713265
CPRT,10.025468858532085
CRM,31.74215005380025
CSCO,11.671018276762425
CSX,12.852208689329213
CTAS,7.110312520053896
CTL,-8.453237410071946
CTSH,-11.391157420444943
CTXS,15.681818181818175
CVS,-10.082758620689658
CVX,-13.211917884815072
CXO,-32.22606843296498
D,-9.622501850481125
DAL,-10.392857142857148
DD,-25.559830324553623
DE,-7.1752603667497254
DFS,-24.193967758710343
DG,15.116654123212548
DGX,-16.732663214539535
DHI,-32.269434110045026
DHR,9.706959706959717
DIS,-0.195330666914717
DISCA,10.098302055406627
DISCK,7.841284837033524
DISH,-47.72774869109947
DLR,-6.874451273046544
DLTR,-18.246202590625295
DOV,-14.439813679823487
DRE,-6.063947078280052
DRI,2.416163299312646
DTE,0.5938242280285165
DUK,2.3897277374866244
DVA,-30.28373702422146
DVN,-45.74879227053139
DXC,-35.4976245584115
EA,-24.51932229202361
EBAY,-25.172231054584003
ECL,7.594276345207929
ED,-9.970570924072986
EFX,-21.251696065128897
EIX,-9.503478810879196
EL,1.0374096196164695
EMN,-21.9559585492228
EMR,-15.152819629789061
EOG,-18.895375776109724
EQIX,-22.145977670888307
EQR,3.873294652657977
ES,2.358341247230133
ESS,1.943074947176537
ETFC,-12.184789187008272
ETN,-13.63118592583219
ETR,5.0374738911414205
EVRG,7.064393939393954
EW,33.4486735870819
EXC,13.524486171022598
EXPD,2.6124594218580817
EXPE,-5.410369875594878
EXR,2.8702115494568137
F,-37.46997598078463
FANG,-27.21584158415842
FAST,-4.791514264813457
FB,-24.515470928255702
FBHS,-45.03214494447692
FCX,-44.77848101265822
FDX,-36.290775026047925
FE,21.68517308948399
FFIV,22.412741960067066
FIS,7.142097991284935
FISV,11.270398047887765
FITB,-22.97297297297297
FLIR,-8.537108537108528
FLS,-10.633752670306206
FLT,-4.645845242425817
FMC,-22.643118148599264
FRC,1.5004616805170734
FRT,-9.396882764852045
FTI,-37.176620887895226
FTNT,60.99794003204395
FTV,-7.809260539046292
GD,-23.65691816171049
GE,-56.97258641239571
GILD,-13.623673925181453
GIS,-34.62641254849047
GL,-18.586704883695294
GLW,-7.002188183807434
GM,-17.248109294949987
GOOG,-0.890672782874635
GOOGL,-0.6379343079551902
GPC,0.5262603936427634
GPN,2.2944932162809457
GPS,-24.77980035231944
GRMN,5.455766325331535
GS,-36.006437431307894
GWW,19.140740740740746
HAL,-45.85635359116022
HAS,-10.738255033557053
HBAN,-18.337912087912088
HBI,-41.70253467240556
HCA,39.46948998178505
