,price,quantity,total
153,0.8438,251.6,1101834.1
154,0.8437,6.7,1101840.8
155,0.8436,197.0,1102037.8
156,0.8435,346.2,1102384.0
157,0.8434,223.2,1102607.2
158,0.8433,270.8,1102878.0
159,0.8432,130.4,1103008.4
160,0.8431,22105.9,1125114.2999999998
161,0.843,1138.4,1126252.6999999997
162,0.8429,88.5,1126341.1999999997
163,0.8428,661.4,1127002.5999999996
164,0.8427,120.9,1127123.4999999995
165,0.8426,42.4,1127165.8999999994
166,0.8425,173.7,1127339.5999999994
167,0.8424,51.1,1127390.6999999995
168,0.8423,86.9,1127477.5999999994
169,0.8422,315.9,1127793.4999999993
170,0.8421,190.7,1127984.1999999993
171,0.842,296.8,1128280.9999999993
172,0.8419,30.5,1128311.4999999993
173,0.8418,156.6,1128468.0999999994
174,0.8417,149.2,1128617.2999999993
175,0.8416,1701.5,1130318.7999999993
176,0.8415,1221.9,1131540.6999999993
177,0.8414,126.4,1131667.0999999992
178,0.8413,5124.1,1136791.1999999993
179,0.8412,27.5,1136818.6999999993
180,0.8411,75.9,1136894.5999999992
181,0.841,1985.8,1138880.3999999992
182,0.8409,95.1,1138975.4999999993
183,0.8408,414.2,1139389.6999999993
184,0.8407,2942.6,1142332.2999999993
185,0.8406,191.6,1142523.8999999994
186,0.8405,176.2,1142700.0999999994
187,0.8404,1048.0,1143748.0999999994
188,0.8403,191.9,1143939.9999999993
189,0.8402,374.7,1144314.6999999993
190,0.8401,988.0,1145302.6999999993
191,0.84,53427.7,1198730.3999999992
192,0.8399,218.8,1198949.1999999993
193,0.8398,203.6,1199152.7999999993
194,0.8397,1328.2,1200480.9999999993
195,0.8396,425.2,1200906.1999999993
196,0.8395,154.4,1201060.5999999992
197,0.8394,129.0,1201189.5999999992
198,0.8393,915.4,1202104.999999999
199,0.8392,170.9,1202275.899999999
200,0.8391,72.1,1202347.999999999
201,0.839,468.9,1202816.899999999
202,0.8389,57.7,1202874.599999999
203,0.8388,83.7,1202958.2999999989
204,0.8387,9727.6,1212685.899999999
205,0.8386,121.7,1212807.599999999
206,0.8385,343.0,1213150.599999999
207,0.8384,3981.1,1217131.699999999
208,0.8383,65.2,1217196.899999999
209,0.8382,119.6,1217316.499999999
210,0.8381,116.6,1217433.0999999992
211,0.838,2555.9,1219988.999999999
212,0.8379,85.9,1220074.899999999
213,0.8378,147.2,1220222.099999999
214,0.8377,41.1,1220263.199999999
215,0.8376,3763.4,1224026.599999999
216,0.8375,546.6,1224573.199999999
217,0.8374,2009.9,1226583.099999999
218,0.8373,50.1,1226633.199999999
219,0.8372,274.5,1226907.699999999
220,0.8371,244.8,1227152.499999999
221,0.837,3694.5,1230846.999999999
222,0.8369,118.8,1230965.799999999
223,0.8368,347.7,1231313.499999999
224,0.8367,654.1,1231967.5999999992
225,0.8366,306.2,1232273.799999999
226,0.8365,303.3,1232577.0999999992
227,0.8364,280.3,1232857.3999999992
228,0.8363,3033.9,1235891.299999999
229,0.8362,291.2,1236182.499999999
230,0.8361,53.6,1236236.0999999992
231,0.836,2283.2,1238519.299999999
232,0.8359,93.8,1238613.0999999992
233,0.8358,255.7,1238868.799999999
234,0.8357,546.8,1239415.5999999992
235,0.8356,141.7,1239557.299999999
236,0.8355,60.4,1239617.699999999
237,0.8354,292.5,1239910.199999999
238,0.8353,100.3,1240010.499999999
239,0.8352,91.8,1240102.299999999
240,0.8351,132.8,1240235.0999999992
241,0.835,6325.5,1246560.5999999992
242,0.8349,257.5,1246818.0999999992
243,0.8348,506.9,1247324.999999999
244,0.8347,108.6,1247433.5999999992
245,0.8346,82.5,1247516.0999999992
246,0.8345,143.2,1247659.299999999
247,0.8344,9478.4,1257137.699999999
248,0.8343,248.3,1257385.999999999
249,0.8342,269.3,1257655.299999999
250,0.8341,2600.7,1260255.999999999
251,0.834,1078.2,1261334.199999999
252,0.8339,78.8,1261412.999999999
253,0.8338,330.0,1261742.999999999
254,0.8337,42.7,1261785.699999999
255,0.8336,13.3,1261798.999999999
256,0.8335,302.2,1262101.199999999
257,0.8334,80.3,1262181.499999999
258,0.8333,6312.7,1268494.199999999
259,0.8332,80.8,1268574.999999999
260,0.8331,410.3,1268985.299999999
261,0.833,852.0,1269837.299999999
262,0.8329,346.5,1270183.799999999
263,0.8328,236.9,1270420.699999999
264,0.8327,336.8,1270757.499999999
265,0.8326,44.5,1270801.999999999
266,0.8325,320.1,1271122.0999999992
267,0.8324,45.3,1271167.3999999992
268,0.8323,1117.0,1272284.3999999992
269,0.8322,3740.7,1276025.0999999992
270,0.8321,1143.5,1277168.5999999992
271,0.832,5754.1,1282922.6999999993
272,0.8319,4099.4,1287022.0999999992
