spot_pairs,futures_usdt_pairs,futures_coin_pairs
TRIGBTC,,
TRIGETH,,
TRIGBNB,,
APPCBTC,,
APPCETH,,
APPCBNB,,
VIBEBTC,,
VIBEETH,,
RLCBTC,,
RLCETH,,
RLCBNB,,
INSBTC,,
INSETH,,
PIVXBTC,,
PIVXBNB,,
IOSTBTC,,
IOSTETH,,
CHATBTC,,
CHATETH,,
STEEMBTC,,
STEEMETH,,
STEEMBNB,,
NANOBTC,,
NANOETH,,
NANOBNB,,
VIABTC,,
VIAETH,,
VIABNB,,
BLZBTC,,
BLZETH,,
BLZBNB,,
AEBTC,,
AEETH,,
AEBNB,,
RPXBTC,,
RPXETH,,
RPXBNB,,
NCASHBTC,,
NCASHETH,,
NCASHBNB,,
POABTC,,
POAETH,,
POABNB,,
ZILBTC,,
ZILETH,,
ZILBNB,,
ONTBTC,,
ONTETH,,
ONTBNB,,
STORMBTC,,
STORMETH,,
STORMBNB,,
QTUMBNB,,
QTUMUSDT,,
XEMBTC,,
XEMETH,,
XEMBNB,,
WANBTC,,
WANETH,,
WANBNB,,
WPRBTC,,
WPRETH,,
QLCBTC,,
QLCETH,,
SYSBTC,,
SYSETH,,
SYSBNB,,
QLCBNB,,
GRSBTC,,
GRSETH,,
ADAUSDT,,
ADABNB,,
CLOAKBTC,,
CLOAKETH,,
GNTBTC,,
GNTETH,,
GNTBNB,,
LOOMBTC,,
LOOMETH,,
LOOMBNB,,
XRPUSDT,,
BCNBTC,,
BCNETH,,
BCNBNB,,
REPBTC,,
REPBNB,,
BTCTUSD,,
TUSDBTC,,
ETHTUSD,,
TUSDETH,,
TUSDBNB,,
ZENBTC,,
ZENETH,,
ZENBNB,,
SKYBTC,,
SKYETH,,
SKYBNB,,
EOSUSDT,,
EOSBNB,,
CVCBTC,,
CVCETH,,
CVCBNB,,
THETABTC,,
THETAETH,,
THETABNB,,
XRPBNB,,
TUSDUSDT,,
IOTAUSDT,,
XLMUSDT,,
IOTXBTC,,
IOTXETH,,
QKCBTC,,
QKCETH,,
AGIBTC,,
AGIETH,,
AGIBNB,,
NXSBTC,,
NXSETH,,
NXSBNB,,
ENJBNB,,
DATABTC,,
DATAETH,,
ONTUSDT,,
TRXBNB,,
TRXUSDT,,
ETCUSDT,,
ETCBNB,,
ICXUSDT,,
SCBTC,,
SCETH,,
NPXSBTC,,
NPXSETH,,
VENUSDT,,
KEYBTC,,
KEYETH,,
NASBTC,,
NASETH,,
NASBNB,,
MFTBTC,,
MFTETH,,
MFTBNB,,
DENTBTC,,
DENTETH,,
ARDRBTC,,
ARDRETH,,
ARDRBNB,,
NULSUSDT,,
HOTBTC,,
HOTETH,,
VETBTC,,
VETETH,,
VETUSDT,,
VETBNB,,
DOCKBTC,,
DOCKETH,,
POLYBTC,,
POLYBNB,,
PHXBTC,,
PHXETH,,
PHXBNB,,
HCBTC,,
HCETH,,
GOBTC,,
GOBNB,,
PAXBTC,,
PAXBNB,,
PAXUSDT,,
PAXETH,,
RVNBTC,,
DCRBTC,,
DCRBNB,,
USDCBNB,,
MITHBTC,,
MITHBNB,,
BCHABCBTC,,
BCHSVBTC,,
BCHABCUSDT,,
BCHSVUSDT,,
BNBPAX,,
BTCPAX,,
ETHPAX,,
XRPPAX,,
EOSPAX,,
XLMPAX,,
RENBTC,,
RENBNB,,
BNBTUSD,,
XRPTUSD,,
EOSTUSD,,
XLMTUSD,,
BNBUSDC,,
BTCUSDC,,
ETHUSDC,,
XRPUSDC,,
EOSUSDC,,
XLMUSDC,,
USDCUSDT,,
ADATUSD,,
TRXTUSD,,
NEOTUSD,,
TRXXRP,,
XZCXRP,,
PAXTUSD,,
USDCTUSD,,
USDCPAX,,
LINKUSDT,,
LINKTUSD,,
LINKPAX,,
LINKUSDC,,
WAVESUSDT,,
WAVESTUSD,,
WAVESPAX,,
WAVESUSDC,,
BCHABCTUSD,,
BCHABCPAX,,
BCHABCUSDC,,
BCHSVTUSD,,
BCHSVPAX,,
BCHSVUSDC,,
LTCTUSD,,
LTCPAX,,
LTCUSDC,,
TRXPAX,,
TRXUSDC,,
BTTBTC,,
BTTBNB,,
BTTUSDT,,
BNBUSDS,,
BTCUSDS,,
USDSUSDT,,
USDSPAX,,
USDSTUSD,,
USDSUSDC,,
BTTPAX,,
BTTTUSD,,
BTTUSDC,,
ONGBNB,,
ONGBTC,,
ONGUSDT,,
HOTBNB,,
HOTUSDT,,
ZILUSDT,,
ZRXBNB,,
ZRXUSDT,,
FETBNB,,
FETBTC,,
FETUSDT,,
BATUSDT,,
XMRBNB,,
XMRUSDT,,
ZECBNB,,
ZECUSDT,,
ZECPAX,,
ZECTUSD,,
ZECUSDC,,
IOSTUSDT,,
CELRBNB,,
CELRBTC,,
CELRUSDT,,
ADAPAX,,
ADAUSDC,,
NEOPAX,,
NEOUSDC,,
DASHBNB,,
DASHUSDT,,
NANOUSDT,,
OMGBNB,,
OMGUSDT,,
THETAUSDT,,
ENJUSDT,,
MITHUSDT,,
MATICBNB,,
MATICBTC,,
MATICUSDT,,
ATOMBNB,,
ATOMBTC,,
ATOMUSDT,,
ATOMUSDC,,
ATOMPAX,,
ATOMTUSD,,
ETCUSDC,,
ETCPAX,,
ETCTUSD,,
BATUSDC,,
BATPAX,,
BATTUSD,,
PHBBNB,,
PHBBTC,,
PHBUSDC,,
PHBTUSD,,
PHBPAX,,
TFUELBNB,,
TFUELBTC,,
TFUELUSDT,,
TFUELUSDC,,
TFUELTUSD,,
TFUELPAX,,
ONEBNB,,
ONEBTC,,
ONEUSDT,,
ONETUSD,,
ONEPAX,,
ONEUSDC,,
FTMBNB,,
FTMBTC,,
FTMUSDT,,
FTMTUSD,,
FTMPAX,,
FTMUSDC,,
BTCBBTC,,
BCPTTUSD,,
BCPTPAX,,
BCPTUSDC,,
ALGOBNB,,
ALGOBTC,,
ALGOUSDT,,
ALGOTUSD,,
ALGOPAX,,
ALGOUSDC,,
USDSBUSDT,,
USDSBUSDS,,
GTOUSDT,,
GTOPAX,,
GTOTUSD,,
GTOUSDC,,
ERDBNB,,
ERDBTC,,
ERDUSDT,,
ERDPAX,,
ERDUSDC,,
DOGEBNB,,
DOGEBTC,,
DOGEUSDT,,
DOGEPAX,,
DOGEUSDC,,
DUSKBNB,,
DUSKBTC,,
DUSKUSDT,,
DUSKUSDC,,
DUSKPAX,,
BGBPUSDC,,
ANKRBNB,,
ANKRBTC,,
ANKRUSDT,,
ANKRTUSD,,
ANKRPAX,,
ANKRUSDC,,
ONTPAX,,
ONTUSDC,,
WINBNB,,
WINBTC,,
WINUSDT,,
WINUSDC,,
COSBNB,,
COSBTC,,
COSUSDT,,
TUSDBTUSD,,
NPXSUSDT,,
NPXSUSDC,,
COCOSBNB,,
COCOSBTC,,
COCOSUSDT,,
MTLUSDT,,
TOMOBNB,,
TOMOBTC,,
TOMOUSDT,,
TOMOUSDC,,
PERLBNB,,
PERLBTC,,
PERLUSDC,,
PERLUSDT,,
DENTUSDT,,
MFTUSDT,,
KEYUSDT,,
STORMUSDT,,
DOCKUSDT,,
WANUSDT,,
FUNUSDT,,
CVCUSDT,,
BTTTRX,,
WINTRX,,
CHZBNB,,
CHZBTC,,
CHZUSDT,,
BANDBNB,,
BANDBTC,,
BANDUSDT,,
BNBBUSD,,
BTCBUSD,,
BUSDUSDT,,
BEAMBNB,,
BEAMBTC,,
BEAMUSDT,,
XTZBNB,,
XTZBTC,,
XTZUSDT,,
RENUSDT,,
RVNUSDT,,
HCUSDT,,
HBARBNB,,
HBARBTC,,
HBARUSDT,,
NKNBNB,,
NKNBTC,,
NKNUSDT,,
XRPBUSD,,
ETHBUSD,,
BCHABCBUSD,,
LTCBUSD,,
LINKBUSD,,
ETCBUSD,,
STXBNB,,
STXBTC,,
STXUSDT,,
KAVABNB,,
KAVABTC,,
KAVAUSDT,,
BUSDNGN,,
BNBNGN,,
BTCNGN,,
ARPABNB,,
ARPABTC,,
ARPAUSDT,,
TRXBUSD,,
EOSBUSD,,
IOTXUSDT,,
RLCUSDT,,
MCOUSDT,,
XLMBUSD,,
ADABUSD,,
CTXCBNB,,
CTXCBTC,,
CTXCUSDT,,
BCHBNB,,
BCHBTC,,
BCHUSDT,,
BCHUSDC,,
BCHTUSD,,
BCHPAX,,
BCHBUSD,,
BTCRUB,,
ETHRUB,,
XRPRUB,,
BNBRUB,,
TROYBNB,,
TROYBTC,,
TROYUSDT,,
BUSDRUB,,
QTUMBUSD,,
VETBUSD,,
VITEBNB,,
VITEBTC,,
VITEUSDT,,
FTTBNB,,
FTTBTC,,
FTTUSDT,,
BTCTRY,,
BNBTRY,,
BUSDTRY,,
ETHTRY,,
XRPTRY,,
USDTTRY,,
USDTRUB,,
BTCEUR,,
ETHEUR,,
BNBEUR,,
XRPEUR,,
EURBUSD,,
EURUSDT,,
OGNBNB,,
OGNBTC,,
OGNUSDT,,
DREPBNB,,
DREPBTC,,
DREPUSDT,,
BULLUSDT,,
BULLBUSD,,
BEARUSDT,,
BEARBUSD,,
ETHBULLUSDT,,
ETHBULLBUSD,,
ETHBEARUSDT,,
ETHBEARBUSD,,
TCTBNB,,
TCTBTC,,
TCTUSDT,,
WRXBNB,,
WRXBTC,,
WRXUSDT,,
ICXBUSD,,
BTSUSDT,,
BTSBUSD,,
LSKUSDT,,
BNTUSDT,,
BNTBUSD,,
LTOBNB,,
LTOBTC,,
LTOUSDT,,
ATOMBUSD,,
DASHBUSD,,
NEOBUSD,,
WAVESBUSD,,
XTZBUSD,,
EOSBULLUSDT,,
EOSBULLBUSD,,
EOSBEARUSDT,,
EOSBEARBUSD,,
XRPBULLUSDT,,
XRPBULLBUSD,,
XRPBEARUSDT,,
XRPBEARBUSD,,
BATBUSD,,
ENJBUSD,,
NANOBUSD,,
ONTBUSD,,
RVNBUSD,,
STRATBUSD,,
