open,high,low,close,volume,complete
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.608,0.608,0.608,0.608,0.0,True
0.5892,0.5893,0.5891,0.5891,3521.5,True
0.5891,0.5894,0.5889,0.5894,19802.3,True
0.5894,0.5895,0.5893,0.5895,12206.1,False
