Date,Open,High,Low,Close,Volume,Market Cap
2017-01-01,963.6580200195312,1003.0800170898438,958.698974609375,998.3250122070312,147775008,16050407460.5
2017-01-02,998.6170043945312,1031.3900146484375,996.7020263671875,1021.75,222184992,16429024775
2017-01-03,1021.5999755859375,1044.0799560546875,1021.5999755859375,1043.8399658203125,185168000,16786368910.1
2017-01-04,1044.4000244140625,1159.4200439453125,1044.4000244140625,1154.72998046875,344945984,18571869009
2017-01-05,1156.72998046875,1191.0999755859375,910.4169921875,1013.3800048828125,510199008,16300254795.1
2017-01-06,1014.239990234375,1046.81005859375,883.9439697265625,902.2009887695312,351876000,14513695758.4
2017-01-07,903.4869995117188,908.5850219726562,823.5560302734375,908.5850219726562,279550016,14618030536.4
2017-01-08,908.1749877929688,942.7239990234375,887.2490234375,911.198974609375,158715008,14661966429.1
2017-01-09,913.2440185546875,913.6859741210938,879.8070068359375,902.8280029296875,141876992,14528815565.3
2017-01-10,902.4400024414062,914.8729858398438,901.0599975585938,907.6790161132812,115808000,14608685049.4
2017-01-11,908.114990234375,919.447998046875,762.7650146484375,777.7570190429688,310928992,12519135995.7
2017-01-12,775.177978515625,826.2459716796875,755.7559814453125,804.833984375,222326000,12956730411.3
2017-01-13,803.7369995117188,829.0009765625,780.0029907226562,823.9840087890625,168968000,13266554392
2017-01-14,825.1420288085938,835.0850219726562,812.4559936523438,818.4119873046875,93063296,13178601991.8
2017-01-15,818.1420288085938,823.3070068359375,812.8709716796875,821.7979736328125,71013600,13234840657.1
2017-01-16,821.7830200195312,834.530029296875,820.27099609375,831.5339965820312,82755200,13393372619.5
2017-01-17,830.9459838867188,910.5609741210938,830.7960205078125,907.93798828125,155095008,14625779851.2
2017-01-18,909.3729858398438,917.4990234375,858.3040161132812,886.6179809570312,225676992,14284036612.6
2017-01-19,888.3350219726562,904.614013671875,884.3380126953125,899.072998046875,105625000,14486616700.1
2017-01-20,898.1719970703125,899.3980102539062,887.0079956054688,895.0260009765625,86728400,14423545370.8
2017-01-21,895.5490112304688,927.3670043945312,895.5349731445312,921.7890014648438,111158000,14856911162.8
2017-01-22,922.2050170898438,937.5250244140625,897.5640258789062,924.6729736328125,116573000,14905439337.4
2017-01-23,925.4990234375,928.2659912109375,916.7379760742188,921.0120239257812,73588600,14848013908.9
2017-01-24,910.677001953125,924.14501953125,892.2860107421875,892.68701171875,111349000,14393026385
2017-01-25,891.9240112304688,903.2520141601562,891.68701171875,901.5419921875,120831000,14537488261.3
2017-01-26,902.39501953125,919.3259887695312,902.2239990234375,917.5859985351562,131958000,14797955301.3
2017-01-27,918.3590087890625,923.2230224609375,915.8460083007812,919.75,125594000,14834831700
2017-01-28,919.8109741210938,923.9110107421875,919.8109741210938,921.5900268554688,68979600,14866260449
2017-01-29,922.0670166015625,923.4180297851562,919.1480102539062,919.4959716796875,60851700,14834377926.4
2017-01-30,920.1510009765625,923.0479736328125,919.4739990234375,920.3820190429688,78227296,14850351605
2017-01-31,920.958984375,972.0189819335938,920.958984375,970.4030151367188,164582000,15659186515.2
2017-02-01,970.9409790039062,989.114013671875,970.7420043945312,989.0230102539062,150110000,15962015276
2017-02-02,990.0009765625,1013.52001953125,983.2210083007812,1011.7999877929688,145820992,16331615570
2017-02-03,1011.4600219726562,1033.8699951171875,1008.7899780273438,1029.9100341796875,201278000,16625849488.9
2017-02-04,1031.3299560546875,1045.9000244140625,1015.1599731445312,1042.9000244140625,155064000,16837411920
2017-02-05,1043.52001953125,1043.6300048828125,1022.3699951171875,1027.3399658203125,114208000,16588240156.6
2017-02-06,1028.4000244140625,1044.6400146484375,1028.1600341796875,1038.1500244140625,111762000,16764422010.3
2017-02-07,1040.1400146484375,1061.9300537109375,1040.1400146484375,1061.3499755859375,146007008,17141080573.7
2017-02-08,1062.3199462890625,1078.969970703125,1037.489990234375,1063.0699462890625,201855008,17170799127.1
2017-02-09,1064.699951171875,1088.989990234375,953.343994140625,994.3829956054688,407220000,16063448931.6
