,timestamp,ATOMUSDT,AXSUSDT,trading_signal,symbol_one_position,symbol_two_position,portfolio_value,hedge_ratio,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,returns,cumulative_returns
0,1691992800000,8.41773838,5.912,0,0.0,0,10000.0,0.7893028379273548,-0.7321447922640134,,,,,
1,1691996400000,8.421,5.897,0,0.0,0,10000.0,0.7893028379273548,-0.7497191981862539,,,,0.0,1.0
2,1692000000000,8.43871176,5.898,0,0.0,0,10000.0,0.7893028379273548,-0.7626991406189436,,,,0.0,1.0
3,1692003600000,8.44,5.898,0,0.0,0,10000.0,0.7893028379273548,-0.7637159521068746,,,,0.0,1.0
4,1692007200000,8.439,5.89927579,0,0.0,0,10000.0,0.7893028379273548,-0.761650859268947,,,,0.0,1.0
5,1692010800000,8.43524268,5.886,0,0.0,0,10000.0,0.7893028379273548,-0.7719609859299457,,,,0.0,1.0
6,1692014400000,8.47806428,5.865,0,0.0,0,10000.0,0.7893028379273548,-0.8267601963345355,,,,0.0,1.0
7,1692018000000,8.493,5.87,0,0.0,0,10000.0,0.7893028379273548,-0.8335490025170245,,,,0.0,1.0
8,1692021600000,8.546,5.897,0,0.0,0,10000.0,0.7893028379273548,-0.8483820529271728,,,,0.0,1.0
9,1692025200000,8.5276782,5.888,0,0.0,0,10000.0,0.7893028379273548,-0.8429206041912369,,,,0.0,1.0
10,1692028800000,8.52696048,5.89419442,0,0.0,0,10000.0,0.7893028379273548,-0.8361596857583988,,,,0.0,1.0
11,1692032400000,8.49304896,5.85373809,0,0.0,0,10000.0,0.7893028379273548,-0.8498495567839681,,,,0.0,1.0
12,1692036000000,8.458,5.83337585,0,0.0,0,10000.0,0.7893028379273548,-0.8425475531895668,,,,0.0,1.0
13,1692039600000,8.47,5.83462109,0,0.0,0,10000.0,0.7893028379273548,-0.8507739472446953,,,,0.0,1.0
14,1692043200000,8.494,5.83252969,0,0.0,0,10000.0,0.7893028379273548,-0.8718086153549507,,,,0.0,1.0
15,1692046800000,8.51,5.846,0,0.0,0,10000.0,0.7893028379273548,-0.8709671507617891,,,,0.0,1.0
16,1692050400000,8.505,5.843,0,0.0,0,10000.0,0.7893028379273548,-0.8700206365721534,,,,0.0,1.0
17,1692054000000,8.509,5.843,0,0.0,0,10000.0,0.7893028379273548,-0.8731778479238619,,,,0.0,1.0
18,1692057600000,8.51333595,5.82778834,0,0.0,0,10000.0,0.7893028379273548,-0.891811885563973,,,,0.0,1.0
19,1692061200000,8.517,5.805,0,0.0,0,10000.0,0.7893028379273548,-0.9174922706272808,,,,0.0,1.0
20,1692064800000,8.526,5.797,0,0.0,0,10000.0,0.7893028379273548,-0.9325959961686268,,,,0.0,1.0
21,1692068400000,8.5,5.79377664,0,0.0,0,10000.0,0.7893028379273548,-0.915297482382516,,,,0.0,1.0
