,timestamp,THETAUSDT,XRPUSDT,hedge_ratio,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal,strategy_returns,cumulative_strategy_returns
125,1697414400000,0.599,0.4864,0.823137912253042,-0.006659609439572167,,,,0,-0.0,1.0
126,1697418000000,0.602,0.488,0.823093126001043,-0.0075020618526278615,,,,0,-0.0,1.0
127,1697421600000,0.601,0.4868,0.8231298075544964,-0.00790101434025231,,,,0,-0.0,1.0
128,1697425200000,0.602,0.4878,0.8229964395921352,-0.0076438566344653736,,,,0,0.0,1.0
129,1697428800000,0.601,0.4863,0.8228841386357499,-0.008253367320085692,,,,0,-0.0,1.0
130,1697432400000,0.608,0.4937,0.822826146736553,-0.006578297215824147,,,,0,0.0,1.0
131,1697436000000,0.607,0.492,0.8227471311892193,-0.0074075086318560746,,,,0,-0.0,1.0
132,1697439600000,0.605,0.4933,0.8227350114591349,-0.004454681932776539,,,,0,0.0,1.0
133,1697443200000,0.605,0.4913,0.8226880262659475,-0.006426255890898236,,,,0,-0.0,1.0
134,1697446800000,0.605,0.4935,0.8226848836160966,-0.004224354587738455,,,,0,0.0,1.0
135,1697450400000,0.604,0.4939,0.8225751947490016,-0.002935417628396997,,,,0,0.0,1.0
136,1697454000000,0.603,0.4942,0.8225181323482239,-0.0017784338059790294,,,,0,0.0,1.0
137,1697457600000,0.606,0.4942,0.8224018610412752,-0.0041755277910127675,,,,0,-0.0,1.0
138,1697461200000,0.601,0.4964,0.8224390772857744,0.0021141145512496573,,,,0,0.0,1.0
139,1697464800000,0.601,0.4975,0.8224939534904125,0.0031811339522620496,,,,0,0.0,1.0
140,1697468400000,0.597,0.4921,0.822472613940893,0.0010838494772869023,,,,0,-0.0,1.0
141,1697472000000,0.598,0.491,0.8223925192551675,-0.0007907265145901676,,,,0,-0.0,1.0
142,1697475600000,0.601,0.4937,0.82231627721737,-0.000512082607639297,,,,0,0.0,1.0
143,1697479200000,0.603,0.4969,0.8222701548936622,0.0010710965991217458,,,,0,0.0,1.0
144,1697482800000,0.604,0.4964,0.8221539691419542,-0.00018099736174026493,,,,0,-0.0,1.0
145,1697486400000,0.603,0.4959,0.8220759923166333,0.0001881766330701362,,,,0,0.0,1.0
146,1697490000000,0.605,0.497,0.8219573177196301,-0.00028417722037621385,,,,0,-0.0,1.0
147,1697493600000,0.609,0.4989,0.8218846149846638,-0.0016277305256602315,,,,0,-0.0,1.0
148,1697497200000,0.608,0.4978,0.8217804247378888,-0.00184249824063637,,,,0,-0.0,1.0
149,1697500800000,0.603,0.494,0.8217324491806058,-0.0015046668559053344,,,,0,0.0,1.0
150,1697504400000,0.604,0.4948,0.8216535202082247,-0.0014787262057676664,,,,0,0.0,1.0
151,1697508000000,0.606,0.4951,0.8215373673829169,-0.0027516446340476453,,,,0,-0.0,1.0
152,1697511600000,0.604,0.4928,0.8214424094852966,-0.003351215329119084,,,,0,-0.0,1.0
153,1697515200000,0.604,0.4908,0.8213172923918276,-0.005275644604663843,,,,0,-0.0,1.0
154,1697518800000,0.603,0.4915,0.8212603101185086,-0.003719967001460711,,,,0,0.0,1.0
155,1697522400000,0.602,0.4896,0.8211433819999098,-0.004728315963945684,,,,0,-0.0,1.0
156,1697526000000,0.605,0.4915,0.8209930424270822,-0.005200790668384692,,,,0,-0.0,1.0
157,1697529600000,0.606,0.4921,0.8208431722888679,-0.005330962407053996,,,,0,-0.0,1.0
158,1697533200000,0.606,0.4904,0.820633391088363,-0.006903834999547942,,,,0,-0.0,1.0
159,1697536800000,0.605,0.49,0.8204360521021501,-0.006363811521800822,,,,0,0.0,1.0
160,1697540400000,0.606,0.4925,0.8202466456877664,-0.004569467286786422,,,,0,0.0,1.0
161,1697544000000,0.6,0.4901,0.8200893865189528,-0.001953631911371656,,,,0,0.0,1.0
162,1697547600000,0.595,0.4892,0.8199521773310592,0.0013284544880198257,,,,0,0.0,1.0
163,1697551200000,0.596,0.4901,0.8198519939006357,0.0014682116352211505,,,,0,0.0,1.0
164,1697554800000,0.598,0.4902,0.8196755838125448,3.400088009825053e-05,,,,0,-0.0,1.0
