Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2019-04-01,47.810001373291016,191.77000427246094,111.69999694824219,391.5400085449219,140.25,161.17999267578125,54.97999954223633,124.94000244140625,112.51000213623047,53.5,196.74000549316406,195.63999938964844,161.47000122070312,143.3000030517578,54.5099983215332,138.97999572753906,104.63999938964844,46.720001220703125,188.38999938964844,211.94000244140625,79.48473358154297,119.0199966430664,85.2300033569336,103.63999938964844,138.02000427246094,245.5399932861328,157.25999450683594,59.09000015258789,63.4900016784668,97.81999969482422
2019-04-02,48.505001068115234,192.42999267578125,111.0,390.75,140.19000244140625,160.50999450683594,55.290000915527344,124.93000030517578,111.95999908447266,56.25,197.5,194.30999755859375,161.0399932861328,143.0,54.36000061035156,137.7100067138672,105.13999938964844,46.56999969482422,188.35000610351562,212.1300048828125,79.39885711669922,119.19000244140625,84.37000274658203,103.75,136.80999755859375,244.41000366210938,157.77999877929688,58.529998779296875,55.36000061035156,96.94000244140625
2019-04-03,48.837501525878906,192.9199981689453,110.55999755859375,384.739990234375,139.25999450683594,162.6199951171875,55.630001068115234,123.88999938964844,112.5199966430664,56.880001068115234,200.86000061035156,198.61000061035156,160.2899932861328,143.6300048828125,55.47999954223633,137.1699981689453,105.3499984741211,46.18000030517578,188.35000610351562,213.1300048828125,79.37023162841797,119.97000122070312,84.47000122070312,103.69000244140625,136.60000610351562,245.83999633789062,158.4600067138672,58.869998931884766,54.84000015258789,97.19000244140625
2019-04-04,48.92250061035156,192.3300018310547,110.12000274658203,395.8599853515625,140.1300048828125,158.52000427246094,55.13999938964844,124.80000305175781,114.75,59.709999084472656,202.22999572753906,200.4499969482422,161.07000732421875,142.77999877929688,55.91999816894531,135.57000732421875,105.55999755859375,46.47999954223633,189.8699951171875,215.02999877929688,78.10114288330078,119.36000061035156,85.27999877929688,103.43000030517578,136.52000427246094,247.38999938964844,157.63999938964844,58.9900016784668,54.150001525878906,98.11000061035156
2019-04-05,49.25,195.41000366210938,110.95999908447266,391.92999267578125,140.36000061035156,158.55999755859375,55.209999084472656,126.41999816894531,115.0,57.2400016784668,202.3800048828125,202.05999755859375,161.6999969482422,143.27999877929688,55.599998474121094,136.17999267578125,105.30999755859375,46.470001220703125,190.7100067138672,215.41000366210938,77.4332046508789,119.88999938964844,85.4000015258789,103.6500015258789,136.39999389648438,248.77999877929688,157.64999389648438,59.09000015258789,54.689998626708984,98.83000183105469
2019-04-08,50.025001525878906,194.8800048828125,110.69999694824219,374.5199890136719,139.82000732421875,158.47000122070312,55.4900016784668,126.68000030517578,114.95999908447266,57.150001525878906,202.5399932861328,203.5500030517578,162.05999755859375,143.38999938964844,55.68000030517578,136.13999938964844,105.6500015258789,46.54999923706055,189.85000610351562,215.02000427246094,77.24236297607422,119.93000030517578,84.7300033569336,104.97000122070312,135.8800048828125,248.75,157.75,59.130001068115234,55.060001373291016,99.2300033569336
2019-04-09,49.875,192.97999572753906,109.8499984741211,369.0400085449219,136.35000610351562,156.97000122070312,55.18000030517578,125.54000091552734,116.86000061035156,56.27000045776367,200.6199951171875,200.89999389648438,160.85000610351562,142.11000061035156,55.31999969482422,135.57000732421875,104.87000274658203,46.66999816894531,190.0800018310547,211.9600067138672,77.09923553466797,119.27999877929688,84.27999877929688,104.66000366210938,135.19000244140625,248.7899932861328,157.49000549316406,58.400001525878906,54.5,98.69000244140625
2019-04-10,50.154998779296875,193.88999938964844,110.16000366210938,364.94000244140625,137.52999877929688,160.24000549316406,55.81999969482422,125.48999786376953,117.16000366210938,55.709999084472656,202.97999572753906,199.42999267578125,159.97000122070312,143.02000427246094,55.75,135.5800018310547,105.33999633789062,46.63999938964844,189.22000122070312,212.11000061035156,77.11832427978516,120.19000244140625,84.87999725341797,104.6500015258789,135.4600067138672,246.02999877929688,158.55999755859375,58.61000061035156,54.5099983215332,99.5999984741211
2019-04-11,49.73749923706055,192.11000061035156,109.8499984741211,370.1600036621094,138.8699951171875,160.72999572753906,55.599998474121094,125.98999786376953,116.5999984741211,54.88999938964844,202.8300018310547,201.47999572753906,160.89999389648438,143.77999877929688,55.79999923706055,135.2100067138672,106.2300033569336,46.709999084472656,188.8800048828125,213.52999877929688,76.1832046508789,120.33000183105469,85.0,104.75,136.27999877929688,235.4199981689453,157.86000061035156,58.560001373291016,53.439998626708984,100.80000305175781
2019-04-12,49.717498779296875,191.4199981689453,110.91000366210938,379.6400146484375,141.1999969482422,160.7100067138672,56.290000915527344,119.76000213623047,130.05999755859375,58.29999923706055,207.83999633789062,203.85000610351562,162.47000122070312,144.35000610351562,56.41999816894531,135.97999572753906,111.20999908447266,46.7400016784668,191.60000610351562,217.4199981689453,75.79198455810547,120.94999694824219,86.23999786376953,105.05999755859375,137.72000122070312,223.22000122070312,159.63999938964844,58.7400016784668,53.45000076293945,101.55999755859375
2019-04-15,49.807498931884766,191.1999969482422,110.52999877929688,375.4599914550781,140.25,160.08999633789062,56.560001373291016,120.13999938964844,132.0399932861328,57.779998779296875,199.91000366210938,204.86000061035156,162.0,143.89999389648438,56.279998779296875,136.52000427246094,109.94000244140625,47.0,191.85000610351562,215.8300018310547,74.9332046508789,121.05000305175781,86.83000183105469,105.7300033569336,136.7899932861328,230.1999969482422,160.44000244140625,58.709999084472656,54.2400016784668,102.43000030517578
