,lookback,holding,correlation,pvalue
0,1,1,0.00023046713318005633,0.9941981579796286
1,1,5,0.003825301041967918,0.9572357202941393
2,1,10,-0.016316696600698906,0.872646438977621
3,1,25,-0.060708066664285625,0.713525203068264
4,1,60,0.0453135416654831,0.8676567707670293
5,1,120,0.14455462682397005,0.73271217919187
6,1,250,0.8096342040264022,0.3993310272826858
7,5,1,-0.0006008502095464347,0.9932797850701094
8,5,5,-0.008550335511071034,0.9045943126642757
9,5,10,0.01701888503017979,0.8672148408227602
10,5,25,-0.03557410047396624,0.8297672984093396
11,5,60,0.12485073977014849,0.6450121593042764
12,5,120,-0.376321308443193,0.35818450377938477
13,5,250,-0.9140375195515206,0.2658954473168294
14,10,1,0.0014477743374613223,0.9886526854416556
15,10,5,-0.0008940117684441853,0.9929928022712395
16,10,10,0.0013533628645264742,0.9893926159341703
17,10,25,0.0238049348511556,0.885622683264216
18,10,60,0.08276980283928442,0.7605597368335811
19,10,120,-0.10920935694623482,0.7968547620760471
20,10,250,0.25172833291576924,0.8380021153306663
21,25,1,0.01891488981907311,0.9090076342310262
22,25,5,0.018427160742515623,0.9113445089304539
23,25,10,0.03295722212585309,0.8421255594700294
24,25,25,-0.0023619410503240438,0.9886142464385287
25,25,60,0.047067172465314916,0.8625795340220552
26,25,120,-0.0012205016722374729,0.9977115616371648
27,25,250,0.10399475394939867,0.9336749651676044
28,60,1,-0.1414082478171816,0.6014004300743552
29,60,5,0.012524538769116925,0.9632818427627912
30,60,10,-0.027224682954407532,0.920278646882734
31,60,25,0.04583440747955066,0.8661482079485164
32,60,60,0.06886251879276387,0.7999543195733181
33,60,120,-0.09339380672778078,0.8259022208897744
34,60,250,0.23227379480289911,0.8507669266067088
35,120,1,-0.4018789920685349,0.3236785463661685
36,120,5,0.04086098610028373,0.9234708862564218
37,120,10,0.004395659209979606,0.9917582451458423
38,120,25,0.2571797684454058,0.5386288267068546
39,120,60,0.06348251030643288,0.8812897019959586
40,120,120,-0.09434223943321446,0.8241551098972001
41,120,250,0.8938729704694991,0.29595520702431977
42,250,1,0.061855181010004034,0.9605966148116216
43,250,5,-0.3552663853314546,0.7687803177661674
44,250,10,-0.15003935035963314,0.9041199224926548
45,250,25,-0.7560347978036813,0.45426810618419516
46,250,60,0.16987190919648462,0.8913292036346168
47,250,120,-0.9292962949980937,0.24082905954810088
48,250,250,0.9254933007245378,0.24730157276338258
