,close
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,-0.007695627023880158
26,-0.0057067767537867286
27,-0.011315278285234239
28,-0.004454517984081782
29,-0.0038804585291754004
30,0.0022110482248936074
31,-0.016149748354518143
32,-0.0124497833434045
33,-0.00889815911568928
34,-0.005436065031522174
35,0.0009901503888348016
36,0.0021599062564320198
37,0.007032348804500703
38,0.004895087785993804
39,0.001718016425374395
40,0.005680254945531217
41,0.02079082534292944
42,0.007204158018909679
43,0.010285467737807377
44,0.012378383630835215
45,0.0055725239798253105
46,0.004274299941045017
47,2.9012736357239503e-05
48,0.003283150962108805
49,0.007017477322837669
50,0.00608170862343499
51,0.002833158054290406
52,0.007876846047692386
53,0.010729544880215783
54,0.003329286966769733
55,-0.00379300736899145
56,0.024969075096566228
57,0.022960103824618404
58,0.012443497706279021
59,0.0074108980157192505
60,0.003493830874315563
61,0.004822682564260461
62,0.011050046554934802
63,0.011471111527296563
64,0.011962794407431667
65,0.013664666404774317
66,0.00868544600938967
67,0.009696287414575488
68,0.0032545071411847343
69,-0.0016435812038608116
70,-0.0004625823449140802
71,0.0007534982846985189
72,-0.0019922280877720756
73,-0.0014575450566506505
74,-0.007810384072544769
75,-0.0020952486969612063
76,-0.004474715431983497
77,-0.002753112198587724
78,-0.012658227848101406
79,-0.005368894844463936
80,-0.004853829936753318
81,-0.02063202109835068
82,-0.02031504481416302
83,-0.010203768767534155
84,-0.009343454304512576
85,-0.010267545535143174
86,-0.012126849044710977
87,-0.0164055429401969
88,-0.009950006943480106
89,-0.011061258126545102
90,-0.011774343265571275
91,-0.00735815685361881
92,-0.009423858502578585
93,-0.0042941492216854536
94,-0.0018934050745776046
95,0.000553018355955512
96,0.002552910161063654
97,0.0020175384717813667
98,0.00035292388545781503
99,0.001101255266987624
