,close
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,0.0008882265650253176
11,0.002243356120429761
12,0.009198546647913818
13,0.008965858597644925
14,0.006464591965811651
15,0.011521140148361845
16,0.027780367029414922
17,0.01258853233521953
18,0.014883437515818906
19,0.012505507111839322
20,0.009568202219659377
21,0.0072370789004543665
22,-0.0018682798372010793
23,-0.003357006032669739
24,-0.0037432008311876924
25,-0.00959338750959466
26,-0.023824772729824483
27,-0.006707582662481141
28,-0.009902339665169197
29,-0.0061895579366014995
30,-0.0066868848380983465
31,0.009307566530012483
32,0.010900449608659067
33,0.0030216865803862456
34,0.0004262636492196117
35,-0.007796666435743812
36,-0.005623981948550785
37,-0.009188547486033472
38,-0.0004216218747074173
39,0.0008395890025335665
40,0.00803178463977649
41,-0.009413145539906104
42,-0.007170476283065525
43,-0.004387497073284932
44,-0.00531117849548128
45,0.004967620403993192
46,0.00511644739702927
47,0.005121769238922159
48,-0.0017557376961065854
49,-0.008986033324088368
50,-0.009988586402285502
51,-0.006344467251352864
52,-0.007370536594644365
53,-0.010337351921349802
54,0.002773687602833444
55,0.0026514406184118605
56,-0.011070992842753952
57,-0.011760307349966767
58,-0.0060534138689864935
59,3.557064143395801e-05
60,-0.005237905384571335
61,-0.007592822316476362
62,-0.012298228766808809
63,-0.0011544692866730867
64,-0.007699021395314227
65,-0.009328877749930381
66,0.00657831044915053
67,0.005871770869067235
68,0.0047314989848070655
69,0.003710037870434948
70,0.008945527691938418
71,0.009203371953263595
72,0.018257011801873238
73,0.011169058030235325
74,0.01076371584146323
75,0.005646669174637856
76,0.006790977353411901
77,0.005021220159771189
78,0.005612788032060283
79,0.006529498654289117
80,0.007075806461863699
81,0.010523301545693373
82,0.00672250661417815
83,0.0027294839888343655
84,0.0015831551912165425
85,0.002975921578357261
86,9.44321802376671e-05
87,0.0014112120787956987
88,-0.0038867498439549663
89,-0.0019873049702079787
90,-0.002391238902683686
91,-0.006881915851851039
92,-0.005187587824488475
93,-0.00123168873784139
94,-0.003781836477187573
95,-0.0019657976898665394
96,-0.005573765831464056
97,-0.0004646483552477793
98,0.0007547286345822472
99,-0.001516188081282446
