date,us_value,china_value,japan_value,germany_value,india_value
1970-01-01,5234.2966662115,113.162577847967,2100.74807036009,2761.16683289339,111.968318177372
1971-01-01,5609.38259952519,118.654144002222,2321.39092521418,3192.13361563743,118.160528911908
1972-01-01,6094.01798986165,131.885558530844,3031.43860570759,3809.98144489456,122.612453445976
1973-01-01,6726.35895596695,157.089110889702,4061.0133895326,5046.75510305815,143.456124984427
1974-01-01,7225.69135952566,160.147687922555,4448.31965623627,5639.07762129679,163.231615579564
1975-01-01,7801.45666356443,178.339614096146,4775.89953559305,6236.3588812986,157.929385028241
1976-01-01,8592.25353727612,165.404262395736,5310.43140904992,6634.85689909309,161.137236080759
1977-01-01,9452.57651914511,185.420537363904,6472.7877874079,7682.95377492882,186.419089544981
1978-01-01,10564.9482220275,228.519313233137,9012.13603523182,9482.04284964716,206.073749258556
1979-01-01,11674.1818666548,272.146922693902,9301.14831026293,11281.0233245081,224.575437698719
1980-01-01,12574.7915062163,312.020377234655,9668.74626395709,12138.3081034267,267.390578652535
1981-01-01,13976.10539252,291.358237452471,10583.1278908402,10209.0731153846,271.426149209154
1982-01-01,14433.787727053,281.499333737952,9779.97490636267,9913.73764159395,275.266085855139
1983-01-01,15543.8937174925,297.807022526203,10652.0147161768,9864.3449403866,292.644647182024
1984-01-01,17121.2254849995,302.585824711882,11207.4523524293,9313.16941243118,278.095415220662
1985-01-01,18236.8277265009,294.78973494214,11809.4603450715,9429.56921688214,297.999248705447
1986-01-01,19071.2271949295,281.699495234272,17451.8349394142,13461.8310034147,312.059843942513
1987-01-01,20038.9410992658,301.733249522454,21141.7183951789,16677.51078816,342.071923724964
1988-01-01,21417.0119305191,370.219284508463,25499.8811728107,17931.2823228876,355.738409768732
1989-01-01,22857.1544330056,407.892658171152,25265.9487590208,17764.376445833,347.462029998068
1990-01-01,23888.6000088133,347.57836594833,25801.3950393094,22303.9613266628,368.749759408129
1991-01-01,24342.2589048189,359.213268699902,29428.4289039469,23357.757725073,303.850437957407
1992-01-01,25418.9907763319,423.304430056569,31992.7902119161,26438.2303888417,317.558738700794
1993-01-01,26387.2937338171,525.365692365863,36345.2441262708,25522.6295733618,301.50079120851
1994-01-01,27694.853416234,473.489916407064,39933.5150564874,27076.60675014,346.227393115934
1995-01-01,28690.8757013347,609.604337927454,44197.6191013908,31658.3493789135,373.628235651141
1996-01-01,29967.7127181749,709.415888233368,39150.0396308089,30485.8665482279,399.577312178982
1997-01-01,31459.1389804773,781.74256121344,35638.2319556941,26964.0494672673,414.898679748919
1998-01-01,32853.6769523009,828.594691043134,32423.7556133801,27289.0593603191,412.509354123275
1999-01-01,34515.3902272076,873.297610969115,36610.1683163197,26734.9425369252,440.961454614021
2000-01-01,36329.9560727102,959.360431340438,39169.3595701504,23694.7604830673,442.034778911498
2001-01-01,37133.623113437,1053.11231446589,34406.1824638092,23628.3272122367,449.911124933268
2002-01-01,37997.7596573051,1148.51425712598,32820.7936433254,25197.2656001848,468.844428308942
2003-01-01,39490.2749557007,1288.63749136212,35387.0374203599,30310.3575963774,543.843798895899
2004-01-01,41724.6316287624,1508.66791563578,38298.9801712303,34106.6581224001,624.105094381691
2005-01-01,44123.4070679055,1753.41419162417,37812.8950199948,34520.2396492496,710.509344848758
2006-01-01,46302.0008800056,2099.2194300786,35991.546002862,36353.8803343631,802.013742049265
2007-01-01,48050.2237771135,2693.95873162278,35779.0245416427,41640.0808695147,1022.73246704551
2008-01-01,48570.0459804586,3468.32706308591,39876.3039685725,45612.7106221441,993.503405266506
2009-01-01,47194.9433547336,3832.22745696438,41308.9968370512,41650.3678297162,1096.63613605519
2010-01-01,48650.6431283336,4550.47394361131,44968.1562349739,41572.4559481507,1350.63447029491
2011-01-01,50065.9665041742,5614.3860223103,48760.0789494211,46705.8957963353,1449.60330101563
2012-01-01,51784.4185738837,6300.58217952904,49145.2804308193,43855.8544658618,1434.01798721629
2013-01-01,53291.1276891406,7020.38607424065,40898.6478964744,46298.9229177341,1438.05700508042
2014-01-01,55123.8497869046,7636.0743401587,38475.3952461838,48023.8699845462,1559.86377870535
2015-01-01,56762.7294515989,8016.44559491162,34960.6393843385,41103.2564363768,1590.17433135955
2016-01-01,57866.7449341091,8094.39016730811,39375.4731620781,42136.1207907991,1714.27953740039
2017-01-01,59907.754260885,8817.04560829162,38834.0529341227,44652.5891722719,1957.96981329558
2018-01-01,62823.309438197,9905.40638307759,39751.1330982711,47939.2782884504,1974.3777314935
2019-01-01,65120.3946628653,10143.8602205959,40415.9567649547,46805.1384334439,2050.1638002619
2020-01-01,63528.6343027508,10408.7195541075,39986.9286287091,46749.4762280016,1913.21973278751
2021-01-01,70219.472454115,12617.5051041181,39827.1267678179,51426.7503654421,2238.12714218765
2022-01-01,76329.5822652029,12720.2163182363,33823.5707344332,48717.9911402128,2410.88802070689
