None,date,closeadj,log_returns
94,2023-06-29,436.551,0.003933958719864188
93,2023-06-30,441.703,0.011732503577101686
92,2023-07-03,442.211,0.0011494332161968027
91,2023-07-05,441.553,-0.0014890855965758781
90,2023-07-06,438.096,-0.007859993696636335
89,2023-07-07,436.99,-0.002527752904062101
88,2023-07-10,438.096,0.002527752904062061
87,2023-07-11,440.886,0.006348274185090975
86,2023-07-12,444.433,0.008012973806549263
85,2023-07-13,447.96,0.007904630280221517
84,2023-07-14,447.681,-0.0006230175014866046
83,2023-07-17,449.236,0.0034674369155573218
82,2023-07-18,452.574,0.007402923552479989
81,2023-07-19,453.58,0.002220374049672266
80,2023-07-20,450.571,-0.0066559924366112536
79,2023-07-21,450.571,0.0
78,2023-07-24,452.584,0.004457713976881081
77,2023-07-25,453.82,0.0027272623821381074
76,2023-07-26,453.889,0.0001520311027718282
75,2023-07-27,450.88,-0.006651446045580217
74,2023-07-28,455.294,0.009742135419275077
73,2023-07-31,456.161,0.0019024532456269967
72,2023-08-01,454.856,-0.0028649320322276847
71,2023-08-02,448.528,-0.014009775469530559
70,2023-08-03,447.243,-0.002869038808900682
69,2023-08-04,445.22,-0.004533529042375392
68,2023-08-07,449.106,0.00869039803570469
67,2023-08-08,447.153,-0.0043581221302032855
66,2023-08-09,444.164,-0.0067069543261624835
65,2023-08-10,444.323,0.00035791182470279557
64,2023-08-11,444.064,-0.0005830792376247717
63,2023-08-14,446.516,0.00550653775243918
62,2023-08-15,441.314,-0.011718593718260065
61,2023-08-16,438.076,-0.007364228916754537
60,2023-08-17,434.738,-0.007648860522731536
59,2023-08-18,434.947,0.0004806338019477254
58,2023-08-21,437.777,0.006485463719195008
57,2023-08-22,436.591,-0.0027128182352332427
56,2023-08-23,441.454,0.011076994286154407
55,2023-08-24,435.336,-0.013955677631578753
54,2023-08-25,438.405,0.007024993954479024
53,2023-08-28,441.185,0.006321147936375516
52,2023-08-29,447.562,0.014350786989494558
51,2023-08-30,449.405,0.0041094100309142624
