date,VCSH,HYG,hedge_ratio,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal
2023-03-20,73.949,70.369,2.0049823903593804,-77.89744278468581,,,,0
2023-03-21,74.086,71.138,1.9879908457493158,-76.14428979818379,,,,0
2023-03-22,74.477,71.206,1.8894124937177021,-69.51177429461332,,,,0
2023-03-23,74.595,70.927,1.7583592286916307,-60.237806664252176,-73.82547770848495,7.270688082812822,1.868828766888332,0
2023-03-24,74.693,70.782,1.5825003095090857,-47.41969561816214,-73.33216902219225,8.485845483176067,3.0536112701325826,-1
2023-03-27,74.242,70.609,1.4505587668171935,-37.08338396604209,-72.47290074899637,10.619541944235776,3.332489948134109,-1
2023-03-28,74.154,70.571,1.3812311442026004,-31.852814267199633,-71.41013911482678,12.879057714431324,3.0714455765892033,-1
2023-03-29,74.282,71.456,1.319466886697838,-26.556639277688802,-70.17982384554057,15.215183069214117,2.8670824642338633,-1
2023-03-30,74.316,71.879,1.271523272060501,-22.615523486448183,-68.8261962016323,17.49144316550114,2.641901658882368,-1
2023-03-31,74.624,72.658,1.2809516335394744,-22.931734701249724,-67.43821896659415,19.389801669170662,2.2953553122778305,-1
2023-04-03,74.919,72.602,1.2591915785778973,-21.735373875477478,-65.97958412662395,21.110637192750765,2.0958254290088223,-1
2023-04-04,75.007,72.389,1.221126250627184,-19.204016680793202,-64.27784338049949,22.748169583996443,1.9814265289905417,-1
2023-04-05,75.036,71.983,1.1546324838750415,-14.65600306004761,-62.301336574956665,24.395062429593676,1.9530728257989802,-1
2023-04-06,74.968,72.302,1.1335647875062407,-12.679084989767844,-60.17057347175599,25.851104171757736,1.8371164406150386,-1
2023-04-10,74.801,72.235,1.124730210606158,-11.895944483551233,-58.01366843440753,27.10194856220948,1.701638679041776,-1
2023-04-11,74.762,72.389,1.1102086699992182,-10.612420586481548,-55.72382340505741,28.12355168747001,1.604043590222444,-1
2023-04-12,74.85,72.37,1.1001472896571942,-9.976024630840982,-53.317160066751754,28.86142706751621,1.50169758877556,-1
2023-04-13,74.997,72.863,1.1079380939921095,-10.229033235126238,-50.92560484339298,29.37285073389811,1.3855165770920679,-1
2023-04-14,74.83,72.727,1.1043160236482563,-9.908968049599011,-48.5386870837087,29.708820663396626,1.3002777684037874,-1
2023-04-17,74.673,72.534,1.1070285659559893,-10.131144105631591,-46.18139276155809,29.861878446197153,1.207233119004187,-1
2023-04-18,74.693,72.582,1.1087936508814398,-10.237124165287383,-43.89502899506905,29.901899963848436,1.1256109100249234,-1
2023-04-19,74.556,72.293,1.107128809144087,-10.250095494546542,-41.73306974195973,29.911963051846847,1.0525211666263188,-1
2023-04-20,74.771,72.225,1.093650070039994,-9.548309386960398,-39.623650076814734,29.874643110518086,1.0067179908591306,-1
2023-04-21,74.742,72.447,1.089822759710408,-9.008532706275318,-37.435470559171954,29.623416043637878,0.9596103910170682,-1
2023-04-24,74.87,72.65,1.088342859274135,-8.834229873854497,-35.126288917136236,29.03774398388597,0.9054442747987618,-1
2023-04-25,75.115,72.534,1.073995528969188,-8.139174158520547,-32.71319258810435,28.128066500833516,0.873647622699399,-1
2023-04-26,75.017,72.254,1.058632244516153,-7.161415086868232,-30.251180623567887,26.962160478896223,0.8563766822311007,-1
2023-04-27,74.83,72.495,1.052891851845334,-6.292897273586348,-27.750100921142476,25.50156026603626,0.841407483452433,-1
2023-04-28,75.017,72.805,1.0328784102907047,-4.678439704777787,-25.226258937803927,23.801925062958226,0.8632839225682509,-1
2023-05-01,74.784,72.472,0.99313672730351,-1.7987370146657042,-22.640935780706172,21.851739646752247,0.9538004343346721,-1
2023-05-02,75.0,72.404,0.9783326914555552,-0.9709518591666466,-20.0767194165222,19.53467978264363,0.9780435497248764,-1
2023-05-03,75.227,72.365,0.9681874442972703,-0.4688368721507601,-17.554204318987765,16.729606060200023,1.021265377400807,-1
2023-05-04,75.256,72.152,0.9495587971943463,0.6920031583422741,-15.214078403889244,13.87824044736721,1.1461165860726243,-1
2023-05-05,75.049,72.54,0.9553275612414267,0.8436218563921614,-13.178030786534434,11.283051240711607,1.2427181569763275,-1
2023-05-08,74.887,72.336,0.9626776093095007,0.24396187163941363,-11.589242203541051,9.511954212619687,1.2440350122250519,-1
2023-05-09,74.882,72.152,0.9618904002101605,0.12372305146276119,-10.349005302957554,8.438290354538827,1.2410959939044044,-1
2023-05-10,75.177,72.589,0.9686335149908637,-0.22996175646817107,-9.294910219266507,7.5921586773479595,1.193988277648175,-1
2023-05-11,75.236,72.472,0.9735922592162685,-0.7771872143951839,-8.435595150490052,7.007427024377759,1.092898707250528,-1
2023-05-12,75.049,72.21,0.9784244144749817,-1.2197738819329231,-7.722403497006209,6.590890815429028,0.9866086083311947,-1
2023-05-15,75.03,72.191,0.9711204472819925,-0.6721671595679055,-6.980417912283482,6.0504237782089305,1.0426130439714372,-1
2023-05-16,74.892,71.686,0.962266618485887,-0.38007159164503435,-6.268574502822401,5.484383547134602,1.0736854672124276,-1
2023-05-17,74.804,71.88,0.9313122814769081,2.214116096401355,-5.554636743582582,5.124702129647592,1.5159423208306873,-1
2023-05-18,74.636,71.919,0.9183774778141057,3.3749785658663995,-4.953604022718781,5.077606469834382,1.640257597366902,-1
2023-05-19,74.622,71.997,0.9277394044438901,2.7672301615880315,-4.438726851006919,5.050284408800532,1.426841823014558,-1
2023-05-22,74.617,72.317,0.9324682792090411,2.7390144102589744,-3.9508948878799126,5.011800831797361,1.3348314353784312,-1
2023-05-23,74.666,71.938,0.9513400748970684,0.9052419677354919,-3.5669728027393446,4.9242907252408985,0.9081947066104742,-1
2023-05-24,74.518,71.434,0.9671622713961707,-0.636998139899859,-3.2556719197079738,4.798750175828535,0.5456991266181062,-1
2023-05-25,74.341,71.385,0.9932821768358455,-2.4565903081535794,-2.9965904888088852,4.615600091749823,0.11699457706930282,-1
2023-05-26,74.351,71.822,1.0194872519482818,-3.977896669606693,-2.7988881094758082,4.432709817099144,-0.2659791885277192,0
2023-05-30,74.666,72.133,1.0857277196821336,-8.93394591778619,-2.7589815032142946,4.369359432090132,-1.4132424925312295,0
2023-05-31,74.715,71.909,1.1663097250821923,-15.231831109515994,-2.9254717346885815,4.743291245207012,-2.5944768597675103,1
2023-06-01,74.858,72.339,1.2726204155743095,-22.926819069061665,-3.3480291871724193,5.8531237790576585,-3.3450155200786464,1
2023-06-02,74.68,72.71,1.3971298668965209,-31.62765845983219,-4.084007489601479,7.7427534900214425,-3.5573457176091026,1
2023-06-05,74.641,72.651,1.4621529629509613,-36.48555930762271,-4.9999083763130585,9.718450449758324,-3.2397809809374114,1
2023-06-06,74.611,72.768,1.4655078739292449,-36.5750079817349,-5.924600979909072,11.288739119902464,-2.7151311299052012,1
2023-06-07,74.458,72.369,1.4024327130887508,-32.05333495116221,-6.721739672997128,12.253608614574167,-2.0672763489472197,1
2023-06-08,74.631,72.827,1.4068319729391765,-32.16627697242369,-7.5552350691823085,13.105364162268284,-1.8779365150416152,1
2023-06-09,74.444,72.846,1.3126588159836712,-24.873572897088422,-8.174590923299045,13.477426597622468,-1.2390334202773712,1
2023-06-12,74.552,72.768,1.3381754849133467,-26.995658751259825,-8.918498224848445,13.887475605090739,-1.301688013031312,1
2023-06-13,74.434,72.856,1.184920214835913,-15.342351271096348,-9.369952033396135,13.868169898666267,-0.43065518243143186,1
2023-06-14,74.424,72.885,0.9560854799055672,1.7292942435080647,-9.279943829973643,13.933171747603264,0.7901458672089848,0
2023-06-15,74.69,73.236,0.8705672448378724,8.213332483059318,-8.990538184799975,14.209918118398681,1.2106945673095828,0
2023-06-16,74.582,73.051,0.7769559542343332,15.10407102129497,-8.510135922701553,14.780703183013664,1.5976375854116691,0
2023-06-20,74.67,72.856,0.7171460427801588,19.306704985605535,-7.8946998183944395,15.54806498274228,1.7495041880897995,0
2023-06-21,74.651,72.671,0.6861531394525828,21.44898198672525,-7.187865814558245,16.390023074425322,1.7472121711633148,0
2023-06-22,74.562,72.456,0.4859584745485191,36.221964220713325,-5.984591108916559,18.17337076742058,2.3224395666484514,-1
2023-06-23,74.582,72.33,0.2172394361267614,56.127848374793885,-4.105997437874491,21.412884214127363,2.8129720970950984,-1
2023-06-26,74.7,72.369,0.09203966309374599,65.49363716689717,-1.8969699584980788,24.90220235942008,2.7062107259722965,-1
2023-06-27,74.582,72.612,0.00547382556224022,72.203751141917,0.5504808756302518,28.34165241918492,2.528196634638829,-1
