date,VCSH,HYG
2023-09-20,74.759,73.617
2023-09-21,74.679,73.093
2023-09-22,74.828,73.222
2023-09-25,74.739,73.123
2023-09-26,74.689,72.806
2023-09-27,74.55,72.707
2023-09-28,74.729,73.053
2023-09-29,74.709,72.945
2023-10-02,74.545,72.504
2023-10-03,74.345,71.768
2023-10-04,74.515,72.136
2023-10-05,74.584,72.206
2023-10-06,74.545,72.305
2023-10-09,74.899,72.843
2023-10-10,74.884,72.823
2023-10-11,74.849,72.813
2023-10-12,74.714,72.425
2023-10-13,74.774,72.365
2023-10-16,74.664,72.345
2023-10-17,74.385,72.007
2023-10-18,74.265,71.659
2023-10-19,74.28,71.4
2023-10-20,74.475,71.55
2023-10-23,74.609,71.838
2023-10-24,74.634,72.206
2023-10-25,74.525,71.818
2023-10-26,74.699,72.067
2023-10-27,74.724,71.977
2023-10-30,74.634,71.997
2023-10-31,74.634,72.186
2023-11-01,74.98,72.87
2023-11-02,75.095,73.69
2023-11-03,75.34,74.41
2023-11-06,75.175,74.11
2023-11-07,75.31,74.12
2023-11-08,75.3,74.16
2023-11-09,75.13,73.7
2023-11-10,75.2,74.06
2023-11-13,75.24,73.99
2023-11-14,75.7,74.74
2023-11-15,75.55,74.5
2023-11-16,75.76,74.6
2023-11-17,75.77,74.77
