,VCSH,HYG,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal,symbol_one_position,symbol_two_position,portfolio_value,returns
0,77.517,73.641,-35.561084371144375,,,,0,0.0,0.0,10000.0,
1,77.563,74.055,-35.21188687744717,,,,0,0.0,0.0,10000.0,0.0
2,77.591,74.081,-35.22533188128364,,,,0,0.0,0.0,10000.0,0.0
3,77.563,73.943,-35.32388687744718,,,,0,0.0,0.0,10000.0,0.0
4,77.648,74.193,-35.19363063909361,,,,0,0.0,0.0,10000.0,0.0
5,77.62,74.055,-35.29218563525714,,,,0,0.0,0.0,10000.0,0.0
6,77.62,74.167,-35.180185635257146,,,,0,0.0,0.0,10000.0,0.0
7,77.685,74.391,-35.047754394163235,,,,0,0.0,0.0,10000.0,0.0
8,77.713,74.357,-35.1211993979997,,,,0,0.0,0.0,10000.0,0.0
9,77.741,74.478,-35.0396444018362,,,,0,0.0,0.0,10000.0,0.0
10,77.816,74.4,-35.223300662112464,,,,0,0.0,0.0,10000.0,0.0
11,77.768,74.591,-34.96468065553566,,,,0,0.0,0.0,10000.0,0.0
12,77.768,74.798,-34.75768065553565,,,,0,0.0,0.0,10000.0,0.0
13,77.806,74.842,-34.76721316074229,,,,0,0.0,0.0,10000.0,0.0
14,77.768,75.153,-34.40268065553565,,,,0,0.0,0.0,10000.0,0.0
15,77.834,75.119,-34.52965816457878,,,,0,0.0,0.0,10000.0,0.0
16,77.796,75.058,-34.53712565937212,,,,0,0.0,0.0,10000.0,0.0
17,77.731,74.946,-34.55755690046601,,,,0,0.0,0.0,10000.0,0.0
18,77.759,75.084,-34.4590019043025,,,,0,0.0,0.0,10000.0,0.0
19,77.834,75.006,-34.642658164578776,,,,0,0.0,0.0,10000.0,0.0
20,77.825,75.023,-34.61297941334563,,,,0,0.0,0.0,10000.0,0.0
21,77.881,75.257,-34.45786942101856,,,,0,0.0,0.0,10000.0,0.0
22,77.9,75.145,-34.596635673621904,,,,0,0.0,0.0,10000.0,0.0
23,77.937,75.256,-34.537759428691515,,,,0,0.0,0.0,10000.0,0.0
24,77.937,75.317,-34.47675942869152,,,,0,0.0,0.0,10000.0,0.0
25,77.881,75.048,-34.66686942101856,,,,0,0.0,0.0,10000.0,0.0
26,77.937,75.143,-34.650759428691515,,,,0,0.0,0.0,10000.0,0.0
27,77.975,75.482,-34.36529193389815,,,,0,0.0,0.0,10000.0,0.0
28,78.013,75.639,-34.261824439104814,,,,0,0.0,0.0,10000.0,0.0
29,78.041,75.734,-34.20626944294128,-34.79571215749043,0.3673868251650669,1.6044198489815578,0,0.0,0.0,10000.0,0.0
30,78.088,75.639,-34.367480699381076,-34.75592536843165,0.3456287223963087,1.1238784391453682,0,0.0,0.0,10000.0,0.0
31,78.135,75.795,-34.277691955820885,-34.72478553771077,0.3452152165367885,1.29511551192658,0,0.0,0.0,10000.0,0.0
32,78.135,75.856,-34.21669195582089,-34.69116420686202,0.34389921615957764,1.3796840142286373,0,0.0,0.0,10000.0,0.0
33,78.126,75.7,-34.36001320458773,-34.65903508443337,0.32737661790485206,0.913388017016373,0,0.0,0.0,10000.0,0.0
34,78.088,75.726,-34.28048069938107,-34.62859675310961,0.31828225943933036,1.093733764306444,0,0.0,0.0,10000.0,0.0
35,78.013,75.587,-34.313824439104806,-34.59598471323787,0.2973810602204075,0.948817231076975,0,0.0,0.0,10000.0,0.0
36,77.994,75.804,-34.070058186501484,-34.55898046494601,0.2911841411016497,1.67908278450456,0,0.0,0.0,10000.0,0.0
37,77.966,75.917,-33.917613182664994,-34.521309091229405,0.29877543070589313,2.0205674447129294,-1,92.78225805926006,-65.86140126717336,10000.0,0.0
38,77.919,75.508,-34.260401926225214,-34.49261584217025,0.27991630979311877,0.8295833712464412,-1,92.78225805926006,-65.86140126717336,9977.42345301051,-0.002260207043584368
39,77.966,75.604,-34.230613182664996,-34.465648134864544,0.26391146017475503,0.8905825917673847,-1,92.78225805926006,-65.86140126717336,9979.385381403376,0.0001966174467537413
40,78.041,75.83,-34.110269442941274,-34.428547094225515,0.22975178147735453,1.3853109178855787,-1,92.78225805926006,-65.86140126717336,9987.31138873531,0.0007939227844748964
41,78.003,75.812,-34.07473693773464,-34.39888230363214,0.21512890994367487,1.5067494460989381,-1,92.78225805926006,-65.86140126717336,9989.651609318753,0.00023429192859554738
42,78.003,75.691,-34.19573693773464,-34.3801508463721,0.20712637709258427,0.8903448765245134,-1,92.78225805926006,-65.86140126717336,9981.682379765425,-0.0007980668673066236
43,78.022,75.908,-34.00550319033796,-34.3547605140253,0.2047153034223067,1.706063581220685,-1,92.78225805926006,-65.86140126717336,9994.211440937275,0.001254418243033038
44,78.032,76.047,-33.88059069170812,-34.33735751523104,0.2219659074184109,2.057824234520408,-1,92.78225805926006,-65.86140126717336,10002.43835313282,0.000822829098317595
45,78.041,76.004,-33.93626944294127,-34.31757789117646,0.2305130824163586,1.6541727013413772,-1,92.78225805926006,-65.86140126717336,9998.7712725558,-0.0003666858841777237
46,78.022,75.856,-34.05750319033797,-34.30159047554199,0.23139173066052365,1.0548660684945843,-1,92.78225805926006,-65.86140126717336,9990.786648071382,-0.0007988795891111818
47,78.013,75.873,-34.027824439104805,-34.28393272682995,0.2313973300932994,1.106790158822857,-1,92.78225805926006,-65.86140126717336,9992.741332215457,0.00019562953570933654
48,78.032,75.76,-34.167590691708114,-34.27421901974347,0.22990647093302324,0.46379002558139865,0,0.0,0.0,9983.536130969143,-0.000921613340106141
